i,j,x,y
0,0,0.0,0.0
0,1,0.0,1.25
0,2,0.0,2.5
0,3,0.0,3.75
0,4,0.0,5.0
0,5,0.0,6.25
0,6,0.0,7.5
0,7,0.0,8.75
0,8,0.0,10.0
0,9,0.0,11.25
0,10,0.0,12.5
0,11,0.0,13.75
0,12,0.0,15.0
0,13,0.0,16.25
0,14,0.0,17.5
0,15,0.0,18.75
0,16,0.0,20.0
0,17,0.0,21.25
0,18,0.0,22.5
0,19,0.0,23.75
0,20,0.0,25.0
0,21,0.0,26.25
0,22,0.0,27.5
0,23,0.0,28.75
0,24,0.0,30.0
0,25,0.0,31.25
0,26,0.0,32.5
0,27,0.0,33.75
0,28,0.0,35.0
0,29,0.0,36.25
0,30,0.0,37.5
0,31,0.0,38.75
1,0,1.25,0.0
1,1,1.4287893357137398,1.4287893357137398
1,2,1.5674259836285285,2.8151887740120918
1,3,1.6799237797057305,4.171217109737666
1,4,1.7736424055939823,5.502458972221837
1,5,1.8532369332251681,6.811946081762299
1,6,1.9220727625044576,8.101445764091729
1,7,1.9827762644640803,9.371816819846352
1,8,2.037399266666093,10.622890871611588
1,9,2.087304183243548,11.852915639061939
1,10,2.132717008592641,13.057242242349155
1,11,2.171739964424983,14.225075547355575
1,12,2.199896343303791,15.399216524794678
1,13,2.2297036603691174,16.561196596695666
1,14,2.246546934634983,17.706215093746675
1,15,2.2602106559662745,18.879284390075032
1,16,2.27546281187006,20.00127101521587
1,17,2.259417356404388,21.123485448327244
1,18,2.244784409863552,22.297270418229854
1,19,2.2267334980251747,23.443524829380674
1,20,2.195260298382525,24.607451850870937
1,21,2.1647967115235747,25.784419123450785
1,22,2.122627958748068,26.95613681006637
1,23,2.0727869888886077,28.165866604182103
1,24,2.0168249715470017,29.403102312051335
1,25,1.9541029457190677,30.66349366393422
1,26,1.8827393906448127,31.94562548487739
1,27,1.7999873914560376,33.24976793962498
1,28,1.7022068752294217,34.57746122807537
1,29,1.5843647308218993,35.93173767487243
1,30,1.438584246677027,37.31838903022939
1,31,1.25,38.75
2,0,2.5,0.0
2,1,2.8151887740120918,1.5674259836285285
2,2,3.0686469312103837,3.0686469312103837
2,3,3.2760487653404673,4.515511203955031
2,4,3.4480419319698865,5.915349188320892
2,5,3.5922873029445976,7.272903331524946
2,6,3.714656899022295,8.591309167688847
2,7,3.8198525854578036,9.872387578774411
2,8,3.911614120874657,11.116429624492909
2,9,3.992535486356491,12.321525396027951
2,10,4.063404875991989,13.482418487006228
2,11,4.121934053931913,14.58896466991631
2,12,4.163565702656364,15.699263894933168
2,13,4.205708952684724,16.791095481516003
2,14,4.229811504368197,17.861812274221133
2,15,4.250051963055461,18.966125864682706
2,16,4.271703859223328,20.002174106154346
2,17,4.248670105175206,21.038646126567393
2,18,4.226716821964283,22.14426119340307
2,19,4.200460093654671,23.217226914281298
2,20,4.155287197357504,24.312656514076224
2,21,4.109419864937048,25.428210370737524
